,School,HTTP,From,To,Yrs,Overall_G,Overall_W,Overall_L,Overall_T,Overall_Pct,Bowls_G,Bowls_W,Bowls_L,Bowls_T,Bowls_Pct,SRS,SOS,AP,CC,Notes
105,Hawaii,/cfb/schools/hawaii/,1971,2018,46,558,281,274,6,.506,11,6,5,0,.545,-3.55,-3.30,2,4,
106,Holy Cross,/cfb/schools/holy-cross/,1899,1981,53,523,264,233,27,.530,1,0,1,0,.000,-3.00,-4.37,5,0,
107,Houston,/cfb/schools/houston/,1949,2018,70,775,429,344,15,.554,26,11,14,1,.460,3.29,1.12,14,11,record adjusted to 429-344-14 by NCAA
108,Idaho,/cfb/schools/idaho/,1917,2017,75,738,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
109,Idaho State,/cfb/schools/idaho-state/,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
110,Illinois,/cfb/schools/illinois/,1892,2018,127,1226,596,591,49,.502,18,8,10,0,.444,6.07,5.27,13,15,
111,Illinois State,/cfb/schools/illinois-state/,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
112,Indiana,/cfb/schools/indiana/,1899,2018,120,1151,459,655,38,.415,11,3,8,0,.273,1.96,4.55,5,2,record adjusted to 460-654-38 by NCAA
113,Indiana State,/cfb/schools/indiana-state/,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
114,Iowa,/cfb/schools/iowa/,1899,2018,120,1172,617,530,34,.537,31,15,15,1,.483,6.66,5.17,22,11,record adjusted to 618-529-34 by NCAA
115,Iowa Pre-Flight,/cfb/schools/iowa-pre-flight/,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
116,Iowa State,/cfb/schools/iowa-state/,1895,2018,121,1191,509,641,45,.445,13,4,9,0,.250,-0.03,1.33,2,2,record adjusted to 510-640-45 by NCAA
117,Jackson State,/cfb/schools/jackson-state/,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
118,Jacksonville Naval Air Station,/cfb/schools/jacksonville-naval-air-station/,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
119,Kansas,/cfb/schools/kansas/,1901,2018,118,1190,527,616,54,.463,12,6,6,0,.500,1.06,2.37,7,5,
120,Kansas State,/cfb/schools/kansas-state/,1912,2018,107,1095,471,599,35,.442,21,9,12,0,.400,-0.49,1.88,13,3,record adjusted to 472-599-34 by NCAA
121,Kent State,/cfb/schools/kent-state/,1962,2018,57,633,203,424,5,.325,2,0,2,0,.000,-12.94,-6.89,0,1,
122,Kentucky,/cfb/schools/kentucky/,1915,2018,103,1067,489,552,36,.471,17,8,9,0,.500,3.76,4.02,8,2,record adjusted to 490-551-36 by NCAA
123,Knox,/cfb/schools/knox/,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
124,Lafayette,/cfb/schools/lafayette/,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.01,-2.59,0,0,
125,Lake Forest,/cfb/schools/lake-forest/,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
126,Lamar,/cfb/schools/lamar/,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
127,Lawrence,/cfb/schools/lawrence/,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
128,Lehigh,/cfb/schools/lehigh/,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-3.05,-2.51,0,0,
129,Liberty,/cfb/schools/liberty/,2018,2018,1,10,4,6,0,.400,,,,,,-9.85,-3.75,0,0,
130,Lombard,/cfb/schools/lombard/,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
131,Long Beach State,/cfb/schools/long-beach-state/,1969,1991,23,256,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
132,Louisiana,/cfb/schools/louisiana-lafayette/,1973,2018,46,524,225,294,5,.434,5,4,1,0,.800,-9.53,-6.14,0,5,record adjusted to 226-293-5 by NCAA
133,Louisiana Tech,/cfb/schools/louisiana-tech/,1975,2018,38,441,228,210,7,.520,10,6,3,1,.611,-3.87,-4.64,0,4,record adjusted to 229-209-7 by NCAA
134,Louisiana-Monroe,/cfb/schools/louisiana-monroe/,1975,2018,32,369,134,233,2,.366,1,0,1,0,.000,-11.54,-5.79,0,1,
135,Louisville,/cfb/schools/louisville/,1962,2018,57,646,349,297,7,.540,21,9,11,1,.475,-0.99,-2.09,11,8,record adjusted to 351-295-7 by NCAA
136,Loyola (LA),/cfb/schools/loyola-la/,1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
137,Loyola Marymount,/cfb/schools/loyola-marymount/,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
138,LSU,/cfb/schools/louisiana-state/,1902,2018,114,1183,766,401,47,.650,49,25,23,1,.531,9.82,4.40,40,11,record adjusted to 768-399-47 by NCAA
139,Lubbock Field,/cfb/schools/lubbock-field/,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
140,Maine,/cfb/schools/maine/,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-1.90,-2.21,0,0,
141,Manhattan,/cfb/schools/manhattan/,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
142,March Field,/cfb/schools/march-field/,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
143,Mare Island Marines,/cfb/schools/mare-island-marines/,1917,1918,2,17,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
144,Marquette,/cfb/schools/marquette/,1927,1960,34,305,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
145,Marshall,/cfb/schools/marshall/,1962,2018,42,480,222,258,3,.463,13,11,2,0,.833,-8.77,-6.29,3,6,
146,Maryland,/cfb/schools/maryland/,1917,2018,102,1075,557,505,30,.524,27,11,14,2,.444,2.46,1.72,18,11,
147,Maryville (TN),/cfb/schools/maryville-tn/,1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
148,Massachusetts,/cfb/schools/massachusetts/,1882,2018,21,200,65,129,6,.340,0,0,0,0,,-9.13,-3.84,0,0,
149,McNeese State,/cfb/schools/mcneese-state/,1975,1981,7,79,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
150,Memphis,/cfb/schools/memphis/,1960,2018,59,657,313,336,8,.482,10,4,6,0,.444,-1.28,-1.64,2,4,record adjusted to 314-335-8 by NCAA
151,Mercer,/cfb/schools/mercer/,1909,1936,15,138,56,73,9,.438,0,0,0,0,,-3.92,-2.03,0,0,
152,Merchant Marine,/cfb/schools/merchant-marine/,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
153,Miami (FL),/cfb/schools/miami-fl/,1936,2018,82,893,580,324,12,.640,38,19,19,0,.514,8.99,3.68,32,9,
154,Miami (OH),/cfb/schools/miami-oh/,1962,2018,57,641,350,278,15,.556,9,5,4,0,.556,-4.01,-6.26,4,9,record adjusted to 351-277-15 by NCAA
155,Michigan,/cfb/schools/michigan/,1881,2018,129,1283,927,332,35,.730,46,21,25,0,.467,13.78,5.04,59,42,
156,Michigan State,/cfb/schools/michigan-state/,1918,2018,94,980,577,376,30,.602,27,12,15,0,.423,9.29,4.84,27,9,record adjusted to 572-381-30 by NCAA
157,Middle Tennessee State,/cfb/schools/middle-tennessee-state/,1999,2018,20,241,120,121,0,.498,7,2,5,0,.167,-6.48,-6.12,0,2,
158,Millsaps,/cfb/schools/millsaps/,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
159,Minnesota,/cfb/schools/minnesota/,1892,2018,127,1227,677,513,42,.567,19,7,12,0,.368,8.23,4.94,14,18,
160,Mississippi College,/cfb/schools/mississippi-college/,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
161,Mississippi State,/cfb/schools/mississippi-state/,1902,2018,114,1144,571,547,37,.510,21,13,8,0,.600,3.35,2.92,14,1,record adjusted to 554-565-36 by NCAA
162,Mississippi Valley State,/cfb/schools/mississippi-valley-state/,1977,1977,1,10,5,5,0,.500,0,0,0,0,,-11.39,-10.79,0,0,
163,Missouri,/cfb/schools/missouri/,1901,2018,117,1187,628,530,50,.541,32,15,17,0,.484,4.81,3.17,19,12,record adjusted to 630-528-50 by NCAA
164,MIT,/cfb/schools/mit/,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
165,Montana,/cfb/schools/montana/,1917,1962,38,332,123,199,10,.386,0,0,0,0,,-8.86,-4.60,0,0,
166,Montana State,/cfb/schools/montana-state/,1923,1947,17,139,65,66,9,.496,1,0,0,1,.500,-7.34,-6.98,0,2,
167,Nashville,/cfb/schools/nashville/,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-11.26,-0.71,0,0,
168,Navy,/cfb/schools/navy/,1891,2018,125,1270,678,547,52,.551,23,11,11,1,.477,4.02,1.41,13,0,
169,Nebraska,/cfb/schools/nebraska/,1900,2018,119,1233,862,362,38,.698,53,26,27,0,.491,10.84,3.71,48,43,record adjusted to 863-362-37 by NCAA
170,Nevada,/cfb/schools/nevada/,1946,2018,32,373,205,173,0,.542,15,5,10,0,.333,-3.73,-5.71,1,7,
171,Nevada-Las Vegas,/cfb/schools/nevada-las-vegas/,1978,2018,41,475,178,296,3,.376,4,3,1,0,.750,-9.34,-4.07,0,1,record adjusted to 167-307-3 by NCAA
172,New Hampshire,/cfb/schools/new-hampshire/,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-11.44,-5.52,0,0,
173,New Mexico,/cfb/schools/new-mexico/,1931,2018,87,942,398,533,17,.429,12,4,7,1,.375,-6.58,-4.04,0,4,
174,New Mexico State,/cfb/schools/new-mexico-state/,1931,2018,85,903,314,578,14,.354,4,3,0,1,.833,-13.10,-7.71,1,4,record adjusted to 315-577-14 by NCAA
175,New York University,/cfb/schools/new-york-university/,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
176,Newberry,/cfb/schools/newberry/,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
177,Norman Naval Air Station,/cfb/schools/norman-naval-air-station/,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
178,North Carolina,/cfb/schools/north-carolina/,1902,2018,115,1188,647,513,48,.555,33,14,19,0,.424,4.68,2.87,16,7,record adjusted to 631-513-48 by NCAA
179,North Carolina Pre-Flight,/cfb/schools/north-carolina-pre-flight/,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
180,North Carolina State,/cfb/schools/north-carolina-state/,1902,2018,113,1155,574,554,46,.509,31,17,13,1,.550,1.64,1.34,13,7,
181,North Texas,/cfb/schools/north-texas/,1953,2018,54,594,257,329,11,.440,8,2,6,0,.286,-7.87,-5.14,0,9,record adjusted to 260-326-11 by NCAA
182,Northern Arizona,/cfb/schools/northern-arizona/,1931,1952,19,152,49,91,12,.362,0,0,0,0,,-17.76,-11.75,0,0,
183,Northern Colorado,/cfb/schools/northern-colorado/,1923,1937,15,115,51,57,7,.474,0,0,0,0,,-10.73,-9.63,0,1,
184,Northern Illinois,/cfb/schools/northern-illinois/,1968,2018,51,590,288,299,4,.491,12,4,8,0,.364,-8.14,-7.20,1,4,
185,Northwestern,/cfb/schools/northwestern/,1892,2018,125,1230,533,658,40,.449,14,4,10,0,.231,2.95,5.46,11,8,record adjusted to 534-657-40 by NCAA
